Datetime,Sentiment,Close,UpperBolinger,LowerBolinger
2024-05-12 19:00:00+00:00,56.791666666666664,61374.73828125,61549.73172659847,60673.32764840153
2024-05-12 20:00:00+00:00,56.833333333333336,61285.2109375,61566.590633752785,60688.51756937221
2024-05-12 21:00:00+00:00,56.875,61219.98046875,61566.215262951846,60726.31715892316
2024-05-12 22:00:00+00:00,56.916666666666664,61293.86328125,61573.75092243214,60758.51353069286
2024-05-12 23:00:00+00:00,56.958333333333336,61471.06640625,61605.088726893766,60782.97728873123
2024-05-13 00:00:00+00:00,57.0,61497.11328125,61643.55526568828,60786.08418743672
2024-05-13 01:00:00+00:00,57.375,61383.17578125,61659.00747331504,60804.277292309955
2024-05-13 02:00:00+00:00,57.75,61035.984375,61651.87192043947,60821.148392060524
2024-05-13 03:00:00+00:00,58.125,61133.30859375,61607.54776095872,60903.564739041285
2024-05-13 04:00:00+00:00,58.5,60969.8671875,61610.379815735585,60898.20377801441
2024-05-13 05:00:00+00:00,58.875,60837.80859375,61631.42822251664,60862.41396498337
2024-05-13 06:00:00+00:00,59.25,61434.03125,61651.2019313923,60872.9379123577
2024-05-13 07:00:00+00:00,59.625,62352.71875,61941.30830387985,60706.77060237015
2024-05-13 08:00:00+00:00,60.0,62785.90234375,62298.05361683884,60515.095601911155
2024-05-13 09:00:00+00:00,60.375,63038.6953125,62643.340170897085,60355.75904785291
2024-05-13 10:00:00+00:00,60.75,62683.01953125,62822.087393765105,60331.064949984895
2024-05-13 11:00:00+00:00,61.125,62699.42578125,62980.69116459179,60306.3006322832
2024-05-13 12:00:00+00:00,61.5,62804.0625,63141.472395016106,60288.97369873389
2024-05-13 13:00:00+00:00,61.875,62726.21875,63265.19189215732,60275.21787346767
2024-05-13 14:00:00+00:00,62.25,62767.84765625,63386.24174324164,60293.162163008354
2024-05-13 15:00:00+00:00,62.625,62983.953125,63530.95662763761,60309.36876298739
2024-05-13 16:00:00+00:00,63.0,63163.375,63686.80325356423,60341.338543310776
2024-05-13 17:00:00+00:00,63.375,62793.69140625,63756.23786098755,60429.27502963745
2024-05-13 18:00:00+00:00,63.75,62767.8125,63811.40814146808,60521.49967103192
2024-05-13 19:00:00+00:00,64.125,63077.30078125,63905.55290440425,60587.97834559575
2024-05-13 20:00:00+00:00,64.5,63088.03125,63986.316634281924,60666.306412593076
2024-05-13 21:00:00+00:00,64.875,62875.984375,64016.038194186556,60785.86571206344
2024-05-13 22:00:00+00:00,65.25,62802.078125,63978.31874731861,61000.19453393138
2024-05-13 23:00:00+00:00,65.625,62909.3671875,63932.38067488706,61223.73846573794
2024-05-14 00:00:00+00:00,66.0,62780.0234375,63792.75646963757,61544.37829598743
2024-05-14 01:00:00+00:00,65.91666666666667,62625.2109375,63482.47247531317,62033.40252468683
2024-05-14 02:00:00+00:00,65.83333333333333,62513.69921875,63207.1975777525,62416.6442191225
2024-05-14 03:00:00+00:00,65.75,62441.36328125,63191.42106119821,62441.28518880179
2024-05-14 04:00:00+00:00,65.66666666666667,62500.49609375,63202.86530302081,62401.300321979186
2024-05-14 05:00:00+00:00,65.58333333333333,62664.6015625,63172.410577879586,62394.34567212042
2024-05-14 06:00:00+00:00,65.5,61979.421875,63277.43125347035,62218.96523090465
2024-05-14 07:00:00+00:00,65.41666666666667,61998.20703125,63339.89818125337,62086.376428121635
2024-05-14 08:00:00+00:00,65.33333333333333,61830.3203125,63402.8165914567,61926.0837991683
2024-05-14 09:00:00+00:00,65.25,61769.546875,63455.27517779548,61777.95802532951
2024-05-14 10:00:00+00:00,65.16666666666667,61681.125,63495.202238323545,61629.35869917646
2024-05-14 11:00:00+00:00,65.08333333333333,61750.07421875,63478.21821486873,61522.954832006275
2024-05-14 12:00:00+00:00,65.0,61560.41015625,63431.539391470105,61409.33717102989
2024-05-14 13:00:00+00:00,64.91666666666667,61745.5,63405.975514019854,61330.08190785514
2024-05-14 14:00:00+00:00,64.83333333333333,61785.6640625,63370.07856276015,61267.764015364846
2024-05-14 15:00:00+00:00,64.75,61777.7890625,63267.71130084481,61240.18010540519
2024-05-14 16:00:00+00:00,64.66666666666667,61372.28515625,63175.0933674682,61161.223429406804
2024-05-14 17:00:00+00:00,64.58333333333333,61258.078125,63114.518818012446,61060.00735386255
2024-05-14 18:00:00+00:00,64.5,61374.19140625,63032.3669460123,60999.370553987705
2024-05-14 19:00:00+00:00,64.41666666666667,61562.84765625,62891.579154721825,61005.50639215317
2024-05-14 20:00:00+00:00,64.33333333333333,61587.44921875,62758.538963512336,61019.289161487664
2024-05-14 21:00:00+00:00,64.25,61663.08203125,62642.747094071674,61038.868140303326
2024-05-14 22:00:00+00:00,64.16666666666667,61699.33203125,62538.34187895161,61061.83663667339
2024-05-14 23:00:00+00:00,64.08333333333333,61553.59765625,62436.095564275376,61075.30638884962
2024-05-15 00:00:00+00:00,64.0,61410.75390625,62300.13246971737,61102.29526465763
2024-05-15 01:00:00+00:00,64.25,61662.24609375,62042.31777024772,61259.87441725228
2024-05-15 02:00:00+00:00,64.5,61750.96875,62002.86849545528,61276.47837954472
2024-05-15 03:00:00+00:00,64.75,61918.40234375,61983.73057255973,61287.63583369027
2024-05-15 04:00:00+00:00,65.0,61905.08984375,61997.726878479465,61281.11648089553
2024-05-15 05:00:00+00:00,65.25,61906.24609375,62019.900375020195,61272.6129062298
2024-05-15 06:00:00+00:00,65.5,61955.5,62058.33977341293,61261.61100783706
